"Model","AUC","CI_Lower","CI_Upper","AUC_CI"
"RF Structural",0.605311084617541,0.597239507124989,0.613382662110093,"0.605 (0.597-0.613)"
"RF Sponsor",0.658466779137534,0.650683187560632,0.666250370714436,"0.658 (0.651-0.666)"
"LR Structural",0.586725026024315,0.578583794304729,0.594866257743901,"0.587 (0.579-0.595)"
"LR Sponsor",0.64165525746013,0.633808360310526,0.649502154609735,"0.642 (0.634-0.65)"
"XGBoost",0.663643387284935,0.655882667165092,0.671404107404779,"0.664 (0.656-0.671)"
"LightGBM",0.66781954171815,0.660083304396548,0.675555779039753,"0.668 (0.66-0.676)"
